City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
123,Ambon,ID,82.99,overcast clouds,-3.7,128.18,Swiss-Belhotel Ambon
127,Kirakira,SB,82.4,clear sky,-10.45,161.92,SanBiz Lodge
131,Pizarro,CO,76.86,light rain,4.95,-77.37,"Playa Pizarro, Bajo Baudó, Chocó, Colombia"
142,Sao Filipe,CV,76.01,scattered clouds,14.9,-24.5,Tortuga B&B
143,Padang,ID,76.69,overcast clouds,-0.95,100.35,Mercure Padang
146,Sola,VU,79.45,clear sky,-13.88,167.55,Ulkel Guest House
147,Mar Del Plata,AR,80.6,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
151,Lazaro Cardenas,MX,83.07,clear sky,17.96,-102.2,Collection O Hotel Quinta Antigua
154,Salinopolis,BR,80.67,light rain,-0.61,-47.36,Salinas Park Resort Maçarico AP101
158,Swan Hill,AU,88.2,overcast clouds,-35.34,143.55,Lazy River Motor Inn
163,Port Keats,AU,84.07,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
167,Palmerston,AU,82.99,few clouds,-12.49,130.98,Quest Palmerston - Serviced Apartments and Accommodation
172,Port Blair,IN,80.42,light rain,11.67,92.75,Fortune Resort Bay Island
173,Matadi,CD,76.96,moderate rain,-5.82,13.45,Hotel Fortune
175,Bacungan,PH,78.64,heavy intensity rain,9.91,118.7,Sumayang Property
176,Acapulco,MX,86.0,clear sky,16.86,-99.89,HS Hotsson Smart Acapulco
177,Xapuri,BR,91.4,thunderstorm,-10.65,-68.5,Restaurante Viana
178,Bengkulu,ID,75.13,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
187,Ixtapa,MX,84.2,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
190,Omboue,GA,76.89,overcast clouds,-1.57,9.26,Hotel Olako
193,Yulara,AU,77.0,few clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
196,Ayolas,PY,86.86,few clouds,-27.4,-56.9,Hotel Ayolas
198,Rincon,US,75.2,scattered clouds,32.3,-81.24,Bent tree subdivision
201,Lethem,GY,87.42,broken clouds,3.38,-59.8,Savannah Inn
203,Nicoya,CR,87.8,scattered clouds,10.15,-85.45,Guayacan Real
209,Gouyave,GD,82.4,few clouds,12.16,-61.73,Rumboat Retreat
215,Petatlan,MX,87.8,clear sky,17.52,-101.27,Hotel California Petatlán
216,Salalah,OM,78.8,scattered clouds,17.02,54.09,HAMDAN PLAZA HOTEL
217,Saint-Pierre,RE,75.2,overcast clouds,-21.34,55.48,Lindsey Hôtel
218,Kokopo,PG,79.81,light rain,-4.35,152.26,Kokopo Beach Bungalow Resort
219,Ewa Beach,US,82.4,few clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
220,Tari,NG,78.49,clear sky,12.41,4.49,
226,Flinders,AU,84.0,scattered clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
232,Meulaboh,ID,76.33,overcast clouds,4.14,96.13,Kost Pria
233,Roebourne,AU,78.01,light rain,-20.78,117.13,Harding River Caravan Park
241,Ternate,ID,79.97,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
242,Hinatuan,PH,75.56,overcast clouds,8.37,126.33,CJ's Hometel
246,Bambanglipuro,ID,77.11,overcast clouds,-7.95,110.28,Puri Brata
